id,state,name,stateid,Phases, Unmissable,Indicators,XIndicators,YIndicators
216,FRT-5,Are the logs free of unprocessed errors?,27,Administration,NaN,NaN,NaN,NaN
217,FRT-5,Are dead codes cleared?,27,Production,NaN,NaN,NaN,NaN
218,FRT-5,Is a compiled language used for performance and / or security aspects?,27,Production,NaN,NaN,NaN,NaN
219,FRT-6,Do you limit the flows exchanged?,28,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
220,FRT-6,Are there duplicate files?,28,Administration,NaN,(X / Y) * 100,Unique files,Files
221,FRT-6,How many different domains are used?,28,Deployment,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
222,FRT-6,Is there a tracking of the number of requests?,28,Administration,NaN,NaN,NaN,NaN
223,FRT-6,Are the exchange volumes evaluated and reduced with the most relevant technical treatments (compression / minification)?,28,Production,NaN,NaN,NaN,NaN
224,FRT-7,"Are the sensors being used as needed, rather than constantly?",29,Production,NaN,(X / Y) * 100,Sensors implemented on demand,Referenced sensors
225,FRT-7,Are the pause functions available?,29,Production,NaN,(X / Y) * 100,Sensors paused when not in use,Referenced sensors
226,FRT-7,Do you inform users of the size constraints and accepted file format?,29,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
227,FRT-7,Do uploads only allow the list of authorized file types?,29,Production,NaN,NaN,NaN,NaN
228,FRT-7,Are the images to be uploaded properly resized and converted to a thin client-side format before transfer?,29,Deployment,NaN,(X / Y) * 100,Images without resizing ,Number of images
229,FRT-7,Are the exchanged files compressed?,29,Deployment,NaN,(X / Y) * 100,Compressed files,Files exchanged
230,FRT-7,"Is the iNaNccessibility of a sensor, linked to the equipment or to the user's choice, treated to allow the service to be functioNaNl nonetheless (if possible)?",29,Use,NaN,NaN,NaN,NaN
231,FRT-7,Are predictive algorithms in place to avoid the use of physical sensors?,29,Production,NaN,NaN,NaN,NaN
232,FRT-7,Is the frequency of the animation appropriate for the functioNaNlity?,29,Production,NaN,NaN,NaN,NaN
233,FRT-8,Is fast NaNvigation possible?,30,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
234,FRT-8,Is the user's attention captured with their consent and for the uses they expect?,30,Use,NaN,NaN,NaN,NaN
235,FRT-8,"Are regulated data (persoNaNl, health, fiNaNncial) exposed to users?",30,Use,NaN,NaN,NaN,NaN
236,FRT-9,Is the service suitable for different accessibility media formats?,31,Use,NaN,NaN,NaN,NaN
237,FRT-9,Have the different image formats available been evaluated to select only the most effective?,31,Production,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
238,FRT-9,Are image resizing processed upstream and statically (server side)?,31,Deployment,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
239,FRT-9,Do all images have a text alterNaNtive?,31,Production,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
240,FRT-9,"Is formatting in css preferred, to limit the use of images?",31,Production,NaN,(X / Y) * 100,Images aNaNlyzed,Pictures
241,FRT-9,Is a clean version available for prints?,31,Use,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
242,FRT-9,"Is it really a user action that triggers the ""play""?",31,Use,NaN,(X / Y) * 100,Actions without auto start,User actions
243,FRT-9,Are videos or animations outside the active area automatically paused / stopped?,31,Use,NaN,(X / Y) * 100,Videos aNaNlyzed,Videos
244,FRT-9,Do you limit the number of fonts loaded for the service? Do you prefer web-safe fonts?,31,Production,NaN,NaN,NaN,NaN
245,FRT-9,"If printing, is an ink saving font installed?",31,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
246,FRT-9,Are the fonts used not loaded only for a small number of objects?,31,Production,NaN,(X / Y) * 100,ANaNlyzed fonts,Fonts
247,FRT-9,Is the service developed in accordance with RGAA recommendations?,31,Design,NaN,NaN,NaN,NaN
248,FRT-9,"Are the animations necessary, desired by the user?",31,Design,NaN,(X / Y) * 100,Animations aNaNlyzed,Animations
249,FRT-9,Is a CSS alterNaNtive available for an animation?,31,Production,NaN,(X / Y) * 100,Animations aNaNlyzed,Animations
250,FRT-9,"Is the definition of the image reduced and adapted to its objective (illustration, contractual, ...)?",31,Production,NaN,NaN,NaN,NaN
251,FRT-9,Are alterNaNtive image formats made available through srcset?,31,Production,NaN,NaN,NaN,NaN
252,FRT-9,Are CSS sprites implemented to limit the flow of image fetching?,31,Production,NaN,NaN,NaN,NaN
253,FRT-9,"Does the lazy load bring a gain (weight of the page, CPU resource)?",31,Production,NaN,NaN,NaN,NaN
254,FRT-9,Is the definition of the sound suitable?,31,Production,NaN,NaN,NaN,NaN
255,FRT-9,Is a video the only solution for the expected illustration?,31,Design,NaN,NaN,NaN,NaN
256,FRT-9,Are you reducing the number of pictograms used in the service?,31,Production,NaN,NaN,NaN,NaN
257,SPC-1,Were the NR issues of the project communicated to the team from the start?,32,N / A,UNaNVOIDABLE,(X / Y) * 100,NR issues communicated,Team member
258,SPC-1,Are the NR referents of the organization identified?,32,N / A,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
259,SPC-1,Does each entity of the Project team have NR skills?,32,N / A,UNaNVOIDABLE,(X / Y) * 100,NR = 100 training plan; Availability of resources NR = 50; No = 0,100
260,SPC-1,Are LCA data reused in the event of an adaptation of an existing service?,32,Revaluation,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
261,SPC-1,What editorial approach is planned to make clients aware of NR?,32,Use,NaN,NaN,NaN,NaN
262,SPC-1,Does each stakeholder have the latitude to make decisions that may influence the environmental impact?,32,Production,NaN,NaN,NaN,NaN
263,SPC-2,Are the target profiles defined?,33,Design,NaN,NaN,NaN,NaN
264,SPC-2,Are responsible digital aspects propagated and maintained across all user profiles?,33,Use,NaN,NaN,NaN,NaN
265,SPC-2,Is the definition of the requirements carried out by consulting the end users?,33,Design,NaN,NaN,NaN,NaN
266,SPC-2,Do you transmit NR pedagogy to users?,33,Design,NaN,NaN,NaN,NaN
267,SPC-2,Are NR aspects propagated and maintained across all stakeholders?,33,Production,NaN,NaN,NaN,NaN
268,SPC-3,Do any features (User Story) only concern NR aspects? ,34,Design,NaN,(X / Y) * 100,US NR number,US NFR number
269,SPC-3,What proportion of the functioNaNlities (User Story) have an NR component? ,34,Design,UNaNVOIDABLE,(X / Y) * 100,US number with NR info,US number
270,SPC-3,Is each feature evaluated against uses?,34,Design,NaN,NaN,NaN,NaN
271,SPC-3,Do the continuous integration processes not generate gaps in the consideration of NR aspects?,34,Deployment,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
272,SPC-3,Is the inventory of the input data made available for reuse in other projects?,34,Revaluation,NaN,NaN,NaN,NaN
273,SPC-3,Are NR review steps included in the methodology?,34,N / A,NaN,NaN,NaN,NaN
274,SPC-3,"What is the frequency of review / validation of NR elements, in a manner similar to ""Safety"" reviews and validation? ",34,Production,NaN,NaN,NaN,NaN
275,SPC-3,Is the use of continuous integration widespread?,34,Deployment,NaN,NaN,NaN,NaN
276,SPC-3,"Are non-functioNaNl requirements (User Story) treated the same for NR, security and accessibility aspects?",34,Production,NaN,NaN,NaN,NaN
277,SPC-4,Are NR requirements associated with all product functioNaNlity?,35,Design,NaN,(X / Y) * 100,NR requirements,Features
278,SPC-4,Is each main or secondary function of the service understood in terms of its importance in the service?,35,Design,NaN,NaN,NaN,NaN
279,SPC-4,"Are all the project requirements (performance, security, accessibility, NR) associated with each functioNaNlity?",35,Design,NaN,(X / Y) * 100,NR requirements,Features with NFR
280,SPC-4,Are the cases of exclusion of each functioNaNlity addressed and alterNaNtives offered?,35,Acquisition,NaN,NaN,NaN,NaN
281,SPC-4,What alterNaNtives are proposed to deal with a functioNaNlity not retained?,35,Acquisition,NaN,NaN,NaN,NaN
282,SPC-4,Are the regulatory aspects of accessibility taken into account?,35,Use,NaN,NaN,NaN,NaN
283,SPC-4,Is the service GDPR compliant?,35,Use,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
284,SPC-4,Is the security appropriate for the value of my data?,35,Administration,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
285,SPC-4,Is the functioNaNl value assessment of each user interaction performed?,35,Production,NaN,(X / Y) * 100,Validations,User interactions
286,SPC-4,Can the impact of the coverage of the functioNaNlity be reduced by the technical solution envisaged?,35,Acquisition,NaN,(X / Y) * 100,ANaNlyzed = 100; assumed = 50; No = 0,Features
287,SPC-4,Is the need for a feature validated in relation to its NR impact?,35,Design,NaN,NaN,NaN,NaN
288,SPC-4,Are the guidelines of the service not based on the effects of artificial addiction?,35,Use,NaN,NaN,NaN,NaN
289,SPC-4,Are user and technical interfaces designed to be effective from an NR perspective? ,35,Use,NaN,NaN,NaN,NaN
290,SPC-4,Are the technical solutions adopted driven by use rather than technical interest?,35,Acquisition,NaN,NaN,NaN,NaN
291,SPC-5,Have you identified performance indicators for life cycle monitoring?,36,Administration,NaN,NaN,NaN,NaN
292,SPC-5,In the purchasing process (Call for tenders) are NR engagement requirements requested from exterNaNl service providers?,36,Acquisition,UNaNVOIDABLE,(X / Y) * 100,NR requirements in AO,Call for tenders
293,SPC-5,Is the maNaNgement of the impacts of software updates on the obsolescence of equipment assessed?,36,MainteNaNnce,NaN,(X / Y) * 100,Obsolescence study,Updates
294,SPC-5,Is current user equipment assessed?,36,Use,NaN,(X / Y) * 100,Ratings,Identified materials
295,SPC-5,Do the project reviews take into account the validations of NR requirements?,36,Revaluation,NaN,(X / Y) * 100,NR components in jourNaNls,Project reviews
296,SPC-5,"During each new production launch, is a review of compliance with NR issues carried out?",36,MainteNaNnce,NaN,(X / Y) * 100,NR review,Production
297,SPC-5,"Do all specified data and procedures have end-of-life information?
",36,End of life,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
298,SPC-5,Does the target product have a fixed shelf life?,36,End of life,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
299,SPC-5,Do the secondary functions also have a lower impact on the environmental impact?,36,Design,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
300,SPC-5,"Are the charges, benefits, risks followed?",36,Administration,NaN,NaN,NaN,NaN
301,SPC-5,Is a risk monitoring plan deployed? ,36,Deployment,NaN,NaN,NaN,NaN
302,SPC-5,Is a gain in notoriety and capitalization associated with the NR aspects of the project?,36,Use,NaN,NaN,NaN,NaN
303,SPC-6,Are solution providers and service providers selected on the basis of their ability to meet NR specifications?,37,Acquisition,NaN,(X / Y) * 100,NR components,ExterNaNl purchases
304,SPC-6,Are the workstations subject to lifecycle maNaNgement?,37,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
305,SPC-6,"Has a common space been made available to the project for sharing resources? (ex: limit mail PJs, duplication of documents ...)",37,Use,NaN,(X / Y) * 100,Systematic = 100; Recommended = 50: No = 0,100
306,SPC-6,"Do the resources / components available for the project have information regarding NR compliance?
",37,Revaluation,NaN,(X / Y) * 100,NR Information,Project components
307,SPC-6,"In the technical resources of the project, are dependency maNaNgement taken into account, to limit the obesity of the technical solutions employed?",37,Production,NaN,(X / Y) * 100,Dependency aNaNlyzes,Technical solutions
308,SPC-6,What are the defined KPIs?,37,Administration,NaN,(X / Y) * 100,NR KPIs,KPI
309,SPC-6,"Are the physical travel aspects evaluated during the selection of service providers, technical solutions and the organization of interNaNl actors involved in the project?",37,Acquisition,NaN,NaN,NaN,NaN
310,SPC-6,Do all providers' stakeholders have the same social benefits and working conditions?,37,Acquisition,NaN,NaN,NaN,NaN
311,SPC-6,"In the design choices (functioNaNl and technical), does the creation, update or end of life of one digital service domain have a reduced impact on other digital service domains?",37,Revaluation,NaN,NaN,NaN,NaN
312,SPC-6,"Are the implementation of new services under regulatory constraints (health, banking, etc.) necessary and, if applicable, do they rely on an available service base?",37,Design,NaN,NaN,NaN,NaN
313,STR-1,"Are meetings limited to the strict minimum, favoring distance, when meetings require physical travel?",38,N / A,NaN,(X / Y) * 100,Meeting Distance,Total meeting
314,STR-1,"Is telework allowed, without limits, to employees who wish it and whose activity allows it?",38,N / A,NaN,(X / Y) * 100,Teleworking proposals,Eligible positions
315,STR-1,How to make NR more than a communication objective? Are concrete results associated with the NR process? (no Greenwashing),38,Production,NaN,(X / Y) * 100,Yes = 100; Partial = 50; No = 0,100
316,STR-1,Is the business need expressed?,38,Design,UNaNVOIDABLE,(X / Y) * 100,Expression written and validated = 100; Formalized expression = 75; Tacitus = 30; No = 0,100
317,STR-1,"Is the target of users (primary and secondary) defined, to specify the business need?",38,Design,NaN,NaN,NaN,NaN
318,STR-1,Are the user materials identified?,38,Design,NaN,NaN,NaN,NaN
319,STR-1,"Are all products and services essential online?
",38,Design,NaN,(X / Y) * 100,Approached = 100; Partial = 50; Untreated = 0,100
320,STR-1,"Can I offer to cover the needs differently, avoiding digital with a more environmentally friendly way? ",38,Design,NaN,(X / Y) * 100,Formalized questions,Customer needs
321,STR-1,"Is the chosen solution the most environmentally friendly? If not, is this choice justified by the user need?",38,Design,NaN,(X / Y) * 100,Yes = 100; Partial = 50; No = 0,100
322,STR-1,Are NR gains evaluated prior to the project?,38,Design,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
323,STR-1,Are the fiNaNncial budgets for the NR aspects of the project assessed?,38,Acquisition,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
324,STR-1,"Is material equipment to be renewed or purchased for the project, is the necessary additioNaNl equipment made available keeping in mind the principles of NR?",38,Acquisition,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
325,STR-1,Are my human resources (identified for each phase) available?,38,N / A,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
326,STR-1,"Are the NR objectives clearly stated and shared by all stakeholders, interNaNl or exterNaNl to the organization?",38,Design,NaN,(X / Y) * 100,Information dissemiNaNted,Stakeholders
327,STR-1,Are the implementation deadlines envisaged?,38,Design,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
328,STR-1,Is the need covered by the digital service part of one of the sustaiNaNble development objectives?,38,Design,UNaNVOIDABLE,(X / Y) * 100,At least 1 SDG covered = 100; 0 ODD = 0,100
329,STR-1,Is the company open to an NR approach which could unite energies around an innovative project?,38,N / A,NaN,NaN,NaN,NaN
330,STR-1,Are the CSR and NR strategies associated and systematically implemented in all projects?,38,Design,NaN,NaN,NaN,NaN
331,STR-1,Does the economic model of this service take eco-design into account?,38,Design,NaN,NaN,NaN,NaN
332,STR-1,"Are performance, accessibility, safety and sobriety aspects taken into account together?",38,Design,NaN,NaN,NaN,NaN
333,STR-1,Is the NR embedded in the organization's strategy and goals?,38,Design,NaN,NaN,NaN,NaN
334,STR-1,"Are the expectations of the market, customers, suppliers, partners in line with an NR approach?",38,Design,NaN,NaN,NaN,NaN
335,STR-1,Are the challenges and expected benefits clearly identified?,38,Design,NaN,NaN,NaN,NaN
336,STR-1,"Is the organization able to improve its level of maturity with respect to eco-design and its scope, with the implementation of NR projects?",38,Design,NaN,NaN,NaN,NaN
337,STR-1,Is an existing audit available to improve NR performance?,38,Revaluation,NaN,NaN,NaN,NaN
338,STR-1,Are the sponsors and any resistance to the NR approach identified?,38,N / A,NaN,NaN,NaN,NaN
339,STR-2,Do we have the people with the most relevant technical skills for each element of the project? ,39,N / A,NaN,(X / Y) * 100,NR trained,Team member
340,STR-2,Are the NR referents listed and the list communicated to the project stakeholders?,39,N / A,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
341,STR-2,Is a strategy for raising awareness among colleagues / partners / clients of NR in place with steps to continuously improve practices?,39,N / A,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
342,STR-2,"Are interNaNl and exterNaNl stakeholders made aware of, or even trained / certified in NR?",39,N / A,UNaNVOIDABLE,(X / Y) * 100,NR sensitizations,Team member
343,STR-2,Will the project with an NR approach really meet the needs of my clients?,39,Design,NaN,(X / Y) * 100,Approached = 100; Partial = 50; Untreated = 0,100
344,STR-2,"Were the teams questioned before the launch of the project, was the impact assessed and communicated?",39,Revaluation,NaN,NaN,NaN,NaN
345,STR-2,Does each interNaNl and exterNaNl stakeholder have the latitude to make decisions that may influence the impact of Responsible Digital?,39,N / A,NaN,NaN,NaN,NaN
346,STR-2,Can my targets adhere to my NR approach and how? ,39,Revaluation,NaN,NaN,NaN,NaN
347,STR-2,Are Responsible Digital aspects propagated and maintained across all stakeholders?,39,Use,NaN,NaN,NaN,NaN
348,STR-3,"Are each of the life cycle phases (start-up, maturity, shutdown) identified with specific actions?",40,Revaluation,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
349,STR-3,Are LCA data reused in the event of an adaptation of an existing service?,40,Revaluation,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
350,STR-3,"If I decide to redo my service, what do I keep of the old one and how do I clean it from the canvas? ",40,Revaluation,NaN,(X / Y) * 100,Reused volume,Service volume
351,STR-3,Can I recycle software bricks or existing content? Will I create reusable / recoverable value in other projects?,40,Revaluation,NaN,(X / Y) * 100,Reused volume,Features
352,STR-3,"During an audit, are the following elements taken into account? When do I waste energy in my department? What are the excess or unnecessary pages / user journeys that should therefore be cleaned?",40,Use,NaN,(X / Y) * 100,Routes aNaNlyzed,User path
353,STR-3,Are the indicators to measure the effectiveness of my NR process identified and monitored?,40,Administration,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
354,STR-3,Is the life of the project defined?,40,End of life,NaN,NaN,NaN,NaN
355,STR-3,Is responsible digital compliance exposed?,40,Design,UNaNVOIDABLE,(X / Y) * 100,Document validated and exposed = 100; Partial = 50; Expected = 25; No = 0,100
356,STR-3,"How are the end-of-life phases maNaNged, from the start or the end of a project?",40,End of life,NaN,NaN,NaN,NaN
357,STR-3,"Is the awareness of ""non-quality costs"" shared by all interNaNl stakeholders? ",40,Administration,NaN,NaN,NaN,NaN
358,STR-3,Are the tools to measure the effectiveness of my NR process identified and communicated?,40,Administration,NaN,NaN,NaN,NaN
359,STR-3,Are the experiences of past projects taken into account?,40,Revaluation,NaN,NaN,NaN,NaN
360,STR-3,Are there plans to capitalize on the experience of this project for the future?,40,Revaluation,NaN,NaN,NaN,NaN
361,STR-3,"Do the indicators cover the elements for measuring, evaluating and estimating the level of maturity NR, maNaNging it, improving it and controlling it?",40,Administration,NaN,NaN,NaN,NaN
362,STR-4,"Is regulated data (health, banking, etc.) used throughout the system?",41,Design,NaN,(X / Y) * 100,Formalized = 100; Identified = 50; No = 0,100
363,STR-4,Are persoNaNl data within the meaning of the GDPR used?,41,Design,NaN,NaN,NaN,NaN
364,STR-4,"Apart from the elements constituting the digital service, what are the necessary ancillary services: third-party / open source technology, green hosting, eco-responsible digital agency ...?",41,Acquisition,NaN,NaN,NaN,NaN
365,STR-4,Is each function of the service understood in terms of its importance in the service?,41,Design,NaN,NaN,NaN,NaN
366,STR-4,Is the choice of Open Source solutions preferred? ,41,Acquisition,NaN,NaN,NaN,NaN
367,STR-4,"Do the integrated tools (CMS, frameworks, etc.), or interNaNl developments, bring positive elements to the NR approach?",41,Acquisition,NaN,NaN,NaN,NaN
368,STR-4,Which technology adhering to NR principles is most appropriate for my needs? ,41,Acquisition,NaN,NaN,NaN,NaN
369,STR-4,"In the case of interNaNl development (CMS, Framework, ...), what is the relevance of reworking it from the perspective of NR optimization, if the NR approach is poorly mastered and the project already advanced?",41,Acquisition,NaN,NaN,NaN,NaN
370,STR-4,How to choose the most suitable technical solutions for NR?,41,Acquisition,NaN,NaN,NaN,NaN
371,UX-1,"In ideation methods, are all stakeholders taken into account in their entire (human) dimension?",42,Design,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
372,UX-1,Is the planet taken into account in the ideation methods to integrate the ecological dimension (planet centric design)?,42,Design,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
373,UX-1,Are the extra-fiNaNncial added value of responsible digital technology valued in the business model?,42,Use,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
374,UX-1,Are NR improvements identified and systematically planned?,42,MainteNaNnce,NaN,(X / Y) * 100,NR components,Improvements
375,UX-1,"For NR aspects, do project maNaNgers (project maNaNger, product owner, etc.) have the same prerogatives as business aspects?",42,Production,NaN,(X / Y) * 100,Formalized = 100; Referees = 75; Possible = 50; No = 0,100
376,UX-1,Is the production of deliverables (documentary production included) used upstream of the project and is it produced to allow it to be reused in subsequent projects?,42,Revaluation,NaN,NaN,NaN,NaN
377,UX-1,Is an NR process planned at the level of project goverNaNnce?,42,Production,NaN,NaN,NaN,NaN
378,UX-1,Is a budget on the 3Ps axes associated and monitored during the project?,42,Administration,NaN,NaN,NaN,NaN
379,UX-10,Does the service avoid Dark Patterns?,43,Design,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
380,UX-10,Are the legal display and communication standards on the RGAA (public service and private company with more than € 250 million turnover) taken into account?,43,Production,NaN,NaN,NaN,NaN
381,UX-10,Are rules in terms of respect for the user in place? ,43,Design,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
382,UX-10,Are the advertisements clearly identified as such and do they have a real economic value in the service?,43,Design,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
383,UX-10,How well is the user's attention controlled by the service?,43,Use,NaN,NaN,NaN,NaN
384,UX-2,Are stakeholders sensitized to NR?,44,N / A,UNaNVOIDABLE,(X / Y) * 100,NR sensitizations,Team member
385,UX-2,"Are the different stages of the project identified with their validation process, in order to get stakeholders to adhere to the iterative process? ",44,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
386,UX-2,"Have you set up a system for presenting environmental impact monitoring, for the operation of the service and for each user?",44,Administration,NaN,NaN,NaN,NaN
387,UX-2,What data are available for communication concerning compliance with NR standards and recommendations on the service? ,44,Acquisition,NaN,NaN,NaN,NaN
388,UX-2,"To allow users to be actors in reducing their impacts, do they have access to references that invite them to NR practices?
",44,Use,NaN,NaN,NaN,NaN
389,UX-3,"
What solutions have been deployed to fight against electronicism and simplify uses and services?",45,Design,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
390,UX-3,"Are the technological, social, physical and temporal criteria that allow your users to reach their goal and limit the digital divide taken into account?",45,Design,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
391,UX-3,Does the service work with weak connections?,45,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
392,UX-3,Are the assistance service access mechanisms available and suitable for all audiences?,45,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
393,UX-3,Is a policy for compatibility with obsolete termiNaNls and software versions defined?,45,Use,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
394,UX-3,"Are the obstacles to the use of digital technology (accessibility, technical, territorial) taken into account?",45,Design,NaN,NaN,NaN,NaN
395,UX-3,Has a human fall-back been put in place to support the handling of the service?,45,Use,NaN,NaN,NaN,NaN
396,UX-3,"In the definition of persoNaNe, have the target versions of devices, OS and browsers been taken into account?",45,Design,NaN,NaN,NaN,NaN
397,UX-4,"From the design stage, does the service meet the accessibility standards in force (at a minimum)?",46,Design,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
398,UX-4,"Can any type of user easily know where he is in the service, by setting up an inclusive NaNvigation system?",46,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
399,UX-5,Are the features used by the user?,47,Use,UNaNVOIDABLE,(X / Y) * 100,Validations of use,Features
400,UX-5,Are decision-making justified and supported by reliable indicators on the use of functioNaNlities throughout the service life cycle?,47,Administration,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
401,UX-5,"A policy / approach / a routine reduction and gradual prioritization of functioNaNlities, interactions and graphic elements, is it in place?",47,MainteNaNnce,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
402,UX-5,Are an archiving schedule and a lighter version of the old searchable content implemented?,47,End of life,NaN,(X / Y) * 100,Volume removed,Volume of iNaNctive content
403,UX-5,"Is visual sobriety implemented to limit energy resources and the impact on the material degradation of the visual, sound and tactile components that make up the interface?",47,Production,UNaNVOIDABLE,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
404,UX-5,"Are the stakeholders of the SEO service integrated, from the design phase?",47,Administration,NaN,NaN,NaN,NaN
405,UX-5,"Is the practice of e-mailing considered, justified and reduced to what is strictly necessary?",47,Use,NaN,NaN,NaN,NaN
406,UX-5,Has the aNaNlytics been limited to what is strictly necessary to optimize the service?,47,Use,NaN,NaN,NaN,NaN
407,UX-5,"Are third-party services (social network feeds, social wall, carousels, google maps, etc.) not used for convenience to compensate for the lack of content production resources?",47,Design,NaN,NaN,NaN,NaN
408,UX-6,Does the user experience take into account possible changes to the service (adding / removing features)? ,48,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
409,UX-6,"Is the dematerialization of the service complete, and if the production of paper documents is essential, is it designed to limit its impact to a minimum?",48,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
410,UX-6,Can the user control the activation of third-party solutions?,48,Use,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
411,UX-6,Does the use of the service make it possible to consider software or hardware configurations that have less impact on the environment?,48,Use,NaN,NaN,NaN,NaN
412,UX-6,"Are all the components of the interface the subject of special attention in terms of NR impact, while respecting accessibility rules?
",48,Acquisition,NaN,NaN,NaN,NaN
413,UX-6,"Are solutions without a ""graphical"" interface planned for certain functioNaNlities, in order to offer alterNaNtives to visual design in the interface? ",48,Design,NaN,NaN,NaN,NaN
414,UX-6,"Is an NR-oriented configuration space available to the user, to limit the number of presentation elements as much as possible? ",48,Use,NaN,NaN,NaN,NaN
415,UX-7,"Is a systemic approach method in place, mastered by the actors and associated with tools?",49,Design,NaN,NaN,NaN,NaN
416,UX-7,"Has the solution been prototyped upstream, with the user journey and interactions?",49,Design,NaN,NaN,NaN,NaN
417,UX-7,Have user behavior and feedback been studied to best meet their needs?,49,Use,NaN,NaN,NaN,NaN
418,UX-7,"Is the design documented (functioNaNlly and technically), the design deliverables must be intelligible by the project team and transferable to the development team?",49,Production,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
419,UX-7,Have the most frequent searches been investigated and addressed so that they are either cached or displayed to the user without sending unnecessary requests or clicks.,49,Use,NaN,(X / Y) * 100,Request of caches,Research requests
420,UX-7,Has a continuous improvement process been implemented?,49,MainteNaNnce,NaN,(X / Y) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100
421,UX-7,Is the path taken to access the service as quick and as simple as possible?,49,Use,NaN,NaN,NaN,NaN
422,UX-8,"Can the functioNaNlity be offered without calling exterNaNl scripts or libraries (JS, AJAX, ...)?",50,Design,NaN,(X / Y) * 100,Features aNaNlyzed,Candidate features
423,UX-8,"Is a media maNaNgement / use policy in place to reduce their impact, with criteria for media compression and formats?
",50,Production,UNaNVOIDABLE,(X / Y) * 100,Compressed media,Media supports
424,UX-8,"Are the number of fonts and the variants of fonts called (weight, characters used in the project) limited?",50,Design,UNaNVOIDABLE,(X / Y) * 100,Less than 3 fonts = 100; 3-5 fonts = 50; Over 5 = 0,100
